,"Current-Dollar and ""Real"" Gross Domestic Product",,,,,,30-Jul-20
,,,,,,,
Annual,,,,Quarterly,,,
,,,,  (Seasonally adjusted annual rates),,,
,,,,,,,
,GDP in billions of current dollars,GDP in billions of chained 2012 dollars,,,GDP in billions of current dollars,GDP in billions of chained 2012 dollars,
,,,,,,,
,,,,,,,
1929,104.6,"1,109.4",,1947Q1,243.2,"2,033.1",
1930,92.2,"1,015.1",,1947Q2,246.0,"2,027.6",
1931,77.4,950.0,,1947Q3,249.6,"2,023.5",
1932,59.5,827.5,,1947Q4,259.7,"2,055.1",
1933,57.2,817.3,,1948Q1,265.7,"2,086.0",
1934,66.8,905.6,,1948Q2,272.6,"2,120.5",
1935,74.2,986.2,,1948Q3,279.2,"2,132.6",
1936,84.8,"1,113.3",,1948Q4,280.4,"2,135.0",
1937,93.0,"1,170.3",,1949Q1,275.0,"2,105.6",
1938,87.4,"1,131.6",,1949Q2,271.4,"2,098.4",
1939,93.4,"1,222.4",,1949Q3,272.9,"2,120.0",
1940,102.9,"1,330.2",,1949Q4,270.6,"2,102.3",
1941,129.3,"1,565.8",,1950Q1,280.8,"2,184.9",
1942,166.0,"1,861.5",,1950Q2,290.4,"2,251.5",
1943,203.1,"2,178.4",,1950Q3,308.2,"2,338.5",
1944,224.4,"2,351.6",,1950Q4,319.9,"2,383.3",
1945,228.0,"2,328.6",,1951Q1,336.0,"2,415.7",
1946,227.5,"2,058.4",,1951Q2,344.1,"2,457.5",
1947,249.6,"2,034.8",,1951Q3,351.4,"2,508.2",
1948,274.5,"2,118.5",,1951Q4,356.2,"2,513.7",
1949,272.5,"2,106.6",,1952Q1,359.8,"2,540.6",
1950,299.8,"2,289.5",,1952Q2,361.0,"2,546.0",
1951,346.9,"2,473.8",,1952Q3,367.7,"2,564.4",
1952,367.3,"2,574.9",,1952Q4,380.8,"2,648.6",
1953,389.2,"2,695.6",,1953Q1,388.0,"2,697.9",
1954,390.5,"2,680.0",,1953Q2,391.7,"2,718.7",
1955,425.5,"2,871.2",,1953Q3,391.2,"2,703.4",
1956,449.4,"2,932.4",,1953Q4,386.0,"2,662.5",
1957,474.0,"2,994.1",,1954Q1,385.3,"2,649.8",
1958,481.2,"2,972.0",,1954Q2,386.1,"2,652.6",
1959,521.7,"3,178.2",,1954Q3,391.0,"2,682.6",
1960,542.4,"3,260.0",,1954Q4,399.7,"2,735.1",
1961,562.2,"3,343.5",,1955Q1,413.1,"2,813.2",
1962,603.9,"3,548.4",,1955Q2,421.5,"2,859.0",
1963,637.5,"3,702.9",,1955Q3,430.2,"2,897.6",
1964,684.5,"3,916.3",,1955Q4,437.1,"2,915.0",
1965,742.3,"4,170.8",,1956Q1,439.7,"2,903.7",
1966,813.4,"4,445.9",,1956Q2,446.0,"2,927.7",
1967,860.0,"4,567.8",,1956Q3,451.2,"2,925.0",
1968,940.7,"4,792.3",,1956Q4,460.5,"2,973.2",
1969,"1,017.6","4,942.1",,1957Q1,469.8,"2,992.2",
1970,"1,073.3","4,951.3",,1957Q2,472.0,"2,985.7",
1971,"1,164.9","5,114.3",,1957Q3,479.5,"3,014.9",
1972,"1,279.1","5,383.3",,1957Q4,474.9,"2,983.7",
1973,"1,425.4","5,687.2",,1958Q1,467.5,"2,906.3",
1974,"1,545.2","5,656.5",,1958Q2,472.0,"2,925.4",
1975,"1,684.9","5,644.8",,1958Q3,485.8,"2,993.1",
1976,"1,873.4","5,949.0",,1958Q4,499.6,"3,063.1",
1977,"2,081.8","6,224.1",,1959Q1,510.3,"3,121.9",
1978,"2,351.6","6,568.6",,1959Q2,522.7,"3,192.4",
1979,"2,627.3","6,776.6",,1959Q3,525.0,"3,194.7",
1980,"2,857.3","6,759.2",,1959Q4,528.6,"3,203.8",
1981,"3,207.0","6,930.7",,1960Q1,542.6,"3,275.8",
1982,"3,343.8","6,805.8",,1960Q2,541.1,"3,258.1",
1983,"3,634.0","7,117.7",,1960Q3,545.6,"3,274.0",
1984,"4,037.6","7,632.8",,1960Q4,540.2,"3,232.0",
1985,"4,339.0","7,951.1",,1961Q1,545.0,"3,253.8",
1986,"4,579.6","8,226.4",,1961Q2,555.5,"3,309.1",
1987,"4,855.2","8,511.0",,1961Q3,567.7,"3,372.6",
1988,"5,236.4","8,866.5",,1961Q4,580.6,"3,438.7",
1989,"5,641.6","9,192.1",,1962Q1,594.0,"3,500.1",
1990,"5,963.1","9,365.5",,1962Q2,600.4,"3,531.7",
1991,"6,158.1","9,355.4",,1962Q3,609.0,"3,575.1",
1992,"6,520.3","9,684.9",,1962Q4,612.3,"3,586.8",
1993,"6,858.6","9,951.5",,1963Q1,621.7,"3,626.0",
1994,"7,287.2","10,352.4",,1963Q2,629.8,"3,666.7",
1995,"7,639.7","10,630.3",,1963Q3,644.4,"3,747.3",
1996,"8,073.1","11,031.4",,1963Q4,653.9,"3,771.8",
1997,"8,577.6","11,521.9",,1964Q1,669.8,"3,851.4",
1998,"9,062.8","12,038.3",,1964Q2,678.7,"3,893.3",
1999,"9,630.7","12,610.5",,1964Q3,692.0,"3,954.1",
2000,"10,252.3","13,131.0",,1964Q4,697.3,"3,966.3",
2001,"10,581.8","13,262.1",,1965Q1,717.8,"4,062.3",
2002,"10,936.4","13,493.1",,1965Q2,730.2,"4,113.6",
2003,"11,458.2","13,879.1",,1965Q3,749.3,"4,205.1",
2004,"12,213.7","14,406.4",,1965Q4,771.9,"4,302.0",
2005,"13,036.6","14,912.5",,1966Q1,795.7,"4,406.7",
2006,"13,814.6","15,338.3",,1966Q2,805.0,"4,421.7",
2007,"14,451.9","15,626.0",,1966Q3,819.6,"4,459.2",
2008,"14,712.8","15,604.7",,1966Q4,833.3,"4,495.8",
2009,"14,448.9","15,208.8",,1967Q1,844.2,"4,535.6",
2010,"14,992.1","15,598.8",,1967Q2,849.0,"4,538.4",
2011,"15,542.6","15,840.7",,1967Q3,865.2,"4,581.3",
2012,"16,197.0","16,197.0",,1967Q4,881.4,"4,615.9",
2013,"16,784.9","16,495.4",,1968Q1,909.4,"4,710.0",
2014,"17,527.3","16,912.0",,1968Q2,934.3,"4,788.7",
2015,"18,238.3","17,432.2",,1968Q3,950.8,"4,825.8",
2016,"18,745.1","17,730.5",,1968Q4,968.0,"4,844.8",
2017,"19,543.0","18,144.1",,1969Q1,993.3,"4,920.6",
2018,"20,611.9","18,687.8",,1969Q2,"1,009.0","4,935.6",
2019,"21,433.2","19,091.7",,1969Q3,"1,030.0","4,968.2",
,,,,1969Q4,"1,038.1","4,943.9",
,,,,1970Q1,"1,051.2","4,936.6",
,,,,1970Q2,"1,067.4","4,943.6",
,,,,1970Q3,"1,086.1","4,989.2",
,,,,1970Q4,"1,088.6","4,935.7",
,,,,1971Q1,"1,135.2","5,069.7",
,,,,1971Q2,"1,156.3","5,097.2",
,,,,1971Q3,"1,177.7","5,139.1",
,,,,1971Q4,"1,190.3","5,151.2",
,,,,1972Q1,"1,230.6","5,246.0",
,,,,1972Q2,"1,266.4","5,365.0",
